id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,stage,2023-11-16 09:07:33+00:00,2023-11-16 09:07:33+00:00,2023-11-16 09:12:33+00:00,2.0
,-28800,,stage,2023-11-16 09:12:33+00:00,2023-11-16 09:12:33+00:00,2023-11-16 09:17:33+00:00,2.0
,-28800,,stage,2023-11-16 09:17:33+00:00,2023-11-16 09:17:33+00:00,2023-11-16 09:22:33+00:00,2.0
,-28800,,stage,2023-11-16 09:22:33+00:00,2023-11-16 09:22:33+00:00,2023-11-16 09:27:33+00:00,2.0
,-28800,,stage,2023-11-16 09:27:33+00:00,2023-11-16 09:27:33+00:00,2023-11-16 09:32:33+00:00,2.0
,-28800,,stage,2023-11-16 09:32:33+00:00,2023-11-16 09:32:33+00:00,2023-11-16 09:37:33+00:00,2.0
,-28800,,stage,2023-11-16 09:37:33+00:00,2023-11-16 09:37:33+00:00,2023-11-16 09:42:33+00:00,2.0
,-28800,,stage,2023-11-16 09:42:33+00:00,2023-11-16 09:42:33+00:00,2023-11-16 09:47:33+00:00,2.0
,-28800,,stage,2023-11-16 09:47:33+00:00,2023-11-16 09:47:33+00:00,2023-11-16 09:52:33+00:00,2.0
,-28800,,stage,2023-11-16 09:52:33+00:00,2023-11-16 09:52:33+00:00,2023-11-16 09:57:33+00:00,2.0
,-28800,,stage,2023-11-16 09:57:33+00:00,2023-11-16 09:57:33+00:00,2023-11-16 10:02:33+00:00,3.0
,-28800,,stage,2023-11-16 10:02:33+00:00,2023-11-16 10:02:33+00:00,2023-11-16 10:07:33+00:00,3.0
,-28800,,stage,2023-11-16 10:07:33+00:00,2023-11-16 10:07:33+00:00,2023-11-16 10:12:33+00:00,3.0
,-28800,,stage,2023-11-16 10:12:33+00:00,2023-11-16 10:12:33+00:00,2023-11-16 10:17:33+00:00,4.0
,-28800,,stage,2023-11-16 10:17:33+00:00,2023-11-16 10:17:33+00:00,2023-11-16 10:22:33+00:00,3.0
,-28800,,stage,2023-11-16 10:22:33+00:00,2023-11-16 10:22:33+00:00,2023-11-16 10:27:33+00:00,3.0
,-28800,,stage,2023-11-16 10:27:33+00:00,2023-11-16 10:27:33+00:00,2023-11-16 10:32:33+00:00,2.0
,-28800,,stage,2023-11-16 10:32:33+00:00,2023-11-16 10:32:33+00:00,2023-11-16 10:37:33+00:00,2.0
,-28800,,stage,2023-11-16 10:37:33+00:00,2023-11-16 10:37:33+00:00,2023-11-16 10:42:33+00:00,2.0
,-28800,,stage,2023-11-16 10:42:33+00:00,2023-11-16 10:42:33+00:00,2023-11-16 10:47:33+00:00,2.0
,-28800,,stage,2023-11-16 10:47:33+00:00,2023-11-16 10:47:33+00:00,2023-11-16 10:52:33+00:00,2.0
,-28800,,stage,2023-11-16 10:52:33+00:00,2023-11-16 10:52:33+00:00,2023-11-16 10:57:33+00:00,2.0
,-28800,,stage,2023-11-16 10:57:33+00:00,2023-11-16 10:57:33+00:00,2023-11-16 11:02:33+00:00,2.0
,-28800,,stage,2023-11-16 11:02:33+00:00,2023-11-16 11:02:33+00:00,2023-11-16 11:07:33+00:00,2.0
,-28800,,stage,2023-11-16 11:07:33+00:00,2023-11-16 11:07:33+00:00,2023-11-16 11:12:33+00:00,2.0
,-28800,,stage,2023-11-16 11:12:33+00:00,2023-11-16 11:12:33+00:00,2023-11-16 11:17:33+00:00,2.0
,-28800,,stage,2023-11-16 11:17:33+00:00,2023-11-16 11:17:33+00:00,2023-11-16 11:22:33+00:00,2.0
,-28800,,stage,2023-11-16 11:22:33+00:00,2023-11-16 11:22:33+00:00,2023-11-16 11:27:33+00:00,2.0
,-28800,,stage,2023-11-16 11:27:33+00:00,2023-11-16 11:27:33+00:00,2023-11-16 11:32:33+00:00,3.0
,-28800,,stage,2023-11-16 11:32:33+00:00,2023-11-16 11:32:33+00:00,2023-11-16 11:37:33+00:00,3.0
,-28800,,stage,2023-11-16 11:37:33+00:00,2023-11-16 11:37:33+00:00,2023-11-16 11:42:33+00:00,3.0
,-28800,,stage,2023-11-16 11:42:33+00:00,2023-11-16 11:42:33+00:00,2023-11-16 11:47:33+00:00,3.0
,-28800,,stage,2023-11-16 11:47:33+00:00,2023-11-16 11:47:33+00:00,2023-11-16 11:52:33+00:00,3.0
,-28800,,stage,2023-11-16 11:52:33+00:00,2023-11-16 11:52:33+00:00,2023-11-16 11:57:33+00:00,3.0
,-28800,,stage,2023-11-16 11:57:33+00:00,2023-11-16 11:57:33+00:00,2023-11-16 12:02:33+00:00,3.0
,-28800,,stage,2023-11-16 12:02:33+00:00,2023-11-16 12:02:33+00:00,2023-11-16 12:07:33+00:00,3.0
,-28800,,stage,2023-11-16 12:07:33+00:00,2023-11-16 12:07:33+00:00,2023-11-16 12:12:33+00:00,3.0
,-28800,,stage,2023-11-16 12:12:33+00:00,2023-11-16 12:12:33+00:00,2023-11-16 12:17:33+00:00,3.0
,-28800,,stage,2023-11-16 12:17:33+00:00,2023-11-16 12:17:33+00:00,2023-11-16 12:22:33+00:00,2.0
,-28800,,stage,2023-11-16 12:22:33+00:00,2023-11-16 12:22:33+00:00,2023-11-16 12:27:33+00:00,2.0
,-28800,,stage,2023-11-16 12:27:33+00:00,2023-11-16 12:27:33+00:00,2023-11-16 12:32:33+00:00,2.0
,-28800,,stage,2023-11-16 12:32:33+00:00,2023-11-16 12:32:33+00:00,2023-11-16 12:37:33+00:00,2.0
,-28800,,stage,2023-11-16 12:37:33+00:00,2023-11-16 12:37:33+00:00,2023-11-16 12:42:33+00:00,2.0
,-28800,,stage,2023-11-16 12:42:33+00:00,2023-11-16 12:42:33+00:00,2023-11-16 12:47:33+00:00,2.0
,-28800,,stage,2023-11-16 12:47:33+00:00,2023-11-16 12:47:33+00:00,2023-11-16 12:52:33+00:00,2.0
,-28800,,stage,2023-11-16 12:52:33+00:00,2023-11-16 12:52:33+00:00,2023-11-16 12:57:33+00:00,2.0
,-28800,,stage,2023-11-16 12:57:33+00:00,2023-11-16 12:57:33+00:00,2023-11-16 13:02:33+00:00,2.0
,-28800,,stage,2023-11-16 13:02:33+00:00,2023-11-16 13:02:33+00:00,2023-11-16 13:07:33+00:00,2.0
,-28800,,stage,2023-11-16 13:07:33+00:00,2023-11-16 13:07:33+00:00,2023-11-16 13:12:33+00:00,4.0
,-28800,,stage,2023-11-16 13:12:33+00:00,2023-11-16 13:12:33+00:00,2023-11-16 13:17:33+00:00,3.0
,-28800,,stage,2023-11-16 13:17:33+00:00,2023-11-16 13:17:33+00:00,2023-11-16 13:22:33+00:00,3.0
,-28800,,stage,2023-11-16 13:22:33+00:00,2023-11-16 13:22:33+00:00,2023-11-16 13:27:33+00:00,3.0
,-28800,,stage,2023-11-16 13:27:33+00:00,2023-11-16 13:27:33+00:00,2023-11-16 13:32:33+00:00,3.0
,-28800,,stage,2023-11-16 13:32:33+00:00,2023-11-16 13:32:33+00:00,2023-11-16 13:37:33+00:00,2.0
,-28800,,stage,2023-11-16 13:37:33+00:00,2023-11-16 13:37:33+00:00,2023-11-16 13:42:33+00:00,2.0
,-28800,,stage,2023-11-16 13:42:33+00:00,2023-11-16 13:42:33+00:00,2023-11-16 13:47:33+00:00,2.0
,-28800,,stage,2023-11-16 13:47:33+00:00,2023-11-16 13:47:33+00:00,2023-11-16 13:52:33+00:00,2.0
,-28800,,stage,2023-11-16 13:52:33+00:00,2023-11-16 13:52:33+00:00,2023-11-16 13:57:33+00:00,2.0
,-28800,,stage,2023-11-16 13:57:33+00:00,2023-11-16 13:57:33+00:00,2023-11-16 14:02:33+00:00,2.0
,-28800,,stage,2023-11-16 14:02:33+00:00,2023-11-16 14:02:33+00:00,2023-11-16 14:07:33+00:00,2.0
,-28800,,stage,2023-11-16 14:07:33+00:00,2023-11-16 14:07:33+00:00,2023-11-16 14:12:33+00:00,2.0
,-28800,,stage,2023-11-16 14:12:33+00:00,2023-11-16 14:12:33+00:00,2023-11-16 14:17:33+00:00,2.0
